track_name,artist,album,duration,listeners,playcount,artist_tags
Drugs N Hella Melodies (feat. Kali Uchis),Don Toliver,,,358094,3933322,"rap, trap, Hip-Hop"
greedy,Tate McRae,,,962473,17259301,"pop, Canadian, seen live"
you broke me first,Tate McRae,,,681529,7253194,"pop, Canadian, seen live"
exes,Tate McRae,,,536518,8720068,"pop, Canadian, seen live"
sports car,Tate McRae,,,447353,7432750,"pop, Canadian, seen live"
she's all i wanna be,Tate McRae,,,413565,5180272,"pop, Canadian, seen live"
it's ok i'm ok,Tate McRae,,,405553,7344320,"pop, Canadian, seen live"
Run For The Hills,Tate McRae,,,344198,5507132,"pop, Canadian, seen live"
that way,Tate McRae,,,318033,2635948,"pop, Canadian, seen live"
revolving door,Tate McRae,,,307627,3869742,"pop, Canadian, seen live"
2 hands,Tate McRae,,,268127,4080777,"pop, Canadian, seen live"
Billie Jean,Michael Jackson,,,2515017,18617609,"pop, 80s, dance"
Beat It,Michael Jackson,,,1980450,13152877,"pop, 80s, dance"
Thriller,Michael Jackson,,,1794897,9911246,"pop, 80s, dance"
P.Y.T. (Pretty Young Thing),Michael Jackson,,,991979,6236990,"pop, 80s, dance"
Rock With You - Single Version,Michael Jackson,,,983724,7010305,"pop, 80s, dance"
Don't Stop 'Til You Get Enough,Michael Jackson,,,946823,4989218,"pop, 80s, dance"
Black or White,Michael Jackson,,,925586,4922684,"pop, 80s, dance"
Smooth Criminal - 2012 Remaster,Michael Jackson,,,902316,5589554,"pop, 80s, dance"
Remember the Time,Michael Jackson,,,854025,5756958,"pop, 80s, dance"
Human Nature,Michael Jackson,,,832688,5087227,"pop, 80s, dance"
Without Me,Eminem,,,1918809,16473533,"rap, Hip-Hop, Eminem"
The Real Slim Shady,Eminem,,,1880984,14346526,"rap, Hip-Hop, Eminem"
Lose Yourself,Eminem,,,1581113,11123356,"rap, Hip-Hop, Eminem"
Stan,Eminem,,,1411980,10849413,"rap, Hip-Hop, Eminem"
Mockingbird,Eminem,,,1404522,11474355,"rap, Hip-Hop, Eminem"
Love The Way You Lie,Eminem,,,1396737,10578293,"rap, Hip-Hop, Eminem"
My Name Is,Eminem,,,1122698,6195636,"rap, Hip-Hop, Eminem"
Not Afraid,Eminem,,,1120355,8478995,"rap, Hip-Hop, Eminem"
Superman,Eminem,,,1008472,7943382,"rap, Hip-Hop, Eminem"
Sing for the Moment,Eminem,,,951993,6350639,"rap, Hip-Hop, Eminem"
This Love,Maroon 5,,,2003240,14180707,"rock, pop, pop rock"
She Will Be Loved,Maroon 5,,,1479097,9744513,"rock, pop, pop rock"
Payphone,Maroon 5,,,1352272,11293120,"rock, pop, pop rock"
Maps,Maroon 5,,,1225272,11667089,"rock, pop, pop rock"
Sunday Morning,Maroon 5,,,1204569,8071647,"rock, pop, pop rock"
One More Night,Maroon 5,,,1111302,8661877,"rock, pop, pop rock"
Animals,Maroon 5,,,1081135,8499227,"rock, pop, pop rock"
Sugar,Maroon 5,,,1046898,7677301,"rock, pop, pop rock"
Harder to Breathe,Maroon 5,,,830411,4785071,"rock, pop, pop rock"
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,,,789259,4305931,"rock, pop, pop rock"
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,,,1453568,20859041,"Hip-Hop, rap, trap"
Circles,Post Malone,,,1243441,17650683,"Hip-Hop, rap, trap"
rockstar (feat. 21 Savage),Post Malone,,,1010831,10526133,"Hip-Hop, rap, trap"
Congratulations,Post Malone,,,914208,8853322,"Hip-Hop, rap, trap"
Better Now,Post Malone,,,885401,9390607,"Hip-Hop, rap, trap"
Wow.,Post Malone,,,792820,8694348,"Hip-Hop, rap, trap"
White Iverson,Post Malone,,,661500,6553936,"Hip-Hop, rap, trap"
I Like You (A Happier Song) (with Doja Cat),Post Malone,,,652174,6742839,"Hip-Hop, rap, trap"
I Fall Apart,Post Malone,,,644469,6516650,"Hip-Hop, rap, trap"
Goodbyes (feat. Young Thug),Post Malone,,,614884,7495663,"Hip-Hop, rap, trap"
Come & Get It,Selena Gomez,,,687565,5891202,"pop, female vocalists, Disney"
Lose You To Love Me,Selena Gomez,,,649133,9282649,"pop, female vocalists, Disney"
Same Old Love,Selena Gomez,,,632901,5539085,"pop, female vocalists, Disney"
Good for You,Selena Gomez,,,622132,5807582,"pop, female vocalists, Disney"
Hands to Myself,Selena Gomez,,,604486,5890383,"pop, female vocalists, Disney"
Wolves,Selena Gomez,,,584432,5571958,"pop, female vocalists, Disney"
Fetish (feat. Gucci Mane),Selena Gomez,,,566061,7050338,"pop, female vocalists, Disney"
The Heart Wants What It Wants,Selena Gomez,,,542274,5660318,"pop, female vocalists, Disney"
Bad Liar,Selena Gomez,,,438713,4354571,"pop, female vocalists, Disney"
Kill Em With Kindness,Selena Gomez,,,398292,3322219,"pop, female vocalists, Disney"
Bohemian Rhapsody,Queen,,,1960068,13584349,"classic rock, rock, 80s"
Bohemian Rhapsody - Remastered 2011,Queen,,,1304998,9684092,"classic rock, rock, 80s"
Don't Stop Me Now - Remastered 2011,Queen,,,1262023,9740566,"classic rock, rock, 80s"
Don't Stop Me Now,Queen,,,1254455,9009228,"classic rock, rock, 80s"
Another One Bites the Dust,Queen,,,1243209,7291578,"classic rock, rock, 80s"
Another One Bites The Dust - Remastered 2011,Queen,,,1206934,8482193,"classic rock, rock, 80s"
We Will Rock You,Queen,,,1126089,6204839,"classic rock, rock, 80s"
Killer Queen,Queen,,,1098821,6870824,"classic rock, rock, 80s"
Under Pressure - Remastered 2011,Queen,,,1042424,7302650,"classic rock, rock, 80s"
I Want to Break Free,Queen,,,1015401,5920748,"classic rock, rock, 80s"
Summer,Calvin Harris,,,1231818,9101602,"electronic, dance, electro"
One Kiss (with Dua Lipa),Calvin Harris,,,1026305,9377290,"electronic, dance, electro"
This Is What You Came For,Calvin Harris,,,960209,6149250,"electronic, dance, electro"
sLiDe (feat. frank ocean & MIGOS),Calvin Harris,,,832497,9277542,"electronic, dance, electro"
How Deep is your love,Calvin Harris,,,823461,5726891,"electronic, dance, electro"
Outside (feat. Ellie Goulding),Calvin Harris,,,759322,6571702,"electronic, dance, electro"
Feel So Close - Radio Edit,Calvin Harris,,,699883,4876866,"electronic, dance, electro"
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,,,655728,5187894,"electronic, dance, electro"
My Way,Calvin Harris,,,561229,3621417,"electronic, dance, electro"
Feel So Close,Calvin Harris,,,515845,3591202,"electronic, dance, electro"
Pain,pinkpantheress,,,1429927,26518284,"electronic, rnb, pop"
Boy's a liar Pt. 2,pinkpantheress,,,1263190,18200559,"electronic, rnb, pop"
I Must Apologise,pinkpantheress,,,832725,10660846,"electronic, rnb, pop"
Attracted To You,pinkpantheress,,,789964,12656085,"electronic, rnb, pop"
Break it off - Bonus,pinkpantheress,,,755160,7599716,"electronic, rnb, pop"
just for me,pinkpantheress,,,666643,7953596,"electronic, rnb, pop"
Boy's a Liar,pinkpantheress,,,623872,5451138,"electronic, rnb, pop"
Passion,pinkpantheress,,,561125,6616845,"electronic, rnb, pop"
mosquito,pinkpantheress,,,429655,5865027,"electronic, rnb, pop"
Break It Off,pinkpantheress,,,381007,4615135,"electronic, rnb, pop"
As It Was,Harry Styles,,,1642742,35170312,"pop, seen live, rock"
Watermelon Sugar,Harry Styles,,,1281130,17002820,"pop, seen live, rock"
Adore You,Harry Styles,,,1159477,16685913,"pop, seen live, rock"
Sign Of The Times,Harry Styles,,,1088183,13519270,"pop, seen live, rock"
Late Night Talking,Harry Styles,,,910468,13890380,"pop, seen live, rock"
Falling,Harry Styles,,,896753,11960178,"pop, seen live, rock"
Golden,Harry Styles,,,867549,12730891,"pop, seen live, rock"
Matilda,Harry Styles,,,762094,12540130,"pop, seen live, rock"
Fine Line,Harry Styles,,,735136,11895284,"pop, seen live, rock"
Lights Up,Harry Styles,,,685738,11092477,"pop, seen live, rock"
Reptilia,The Strokes,,,2133331,21666059,"indie rock, rock, indie"
Someday,The Strokes,,,1992660,19662932,"indie rock, rock, indie"
Last Nite,The Strokes,,,1832832,17038113,"indie rock, rock, indie"
You Only Live Once,The Strokes,,,1401868,13862895,"indie rock, rock, indie"
Hard to Explain,The Strokes,,,1285469,11496818,"indie rock, rock, indie"
Is This It,The Strokes,,,1260575,11668531,"indie rock, rock, indie"
The Adults Are Talking,The Strokes,,,1237230,20252772,"indie rock, rock, indie"
12:51,The Strokes,,,1129023,9564470,"indie rock, rock, indie"
The Modern Age,The Strokes,,,987755,7747550,"indie rock, rock, indie"
Barely Legal,The Strokes,,,945768,7577839,"indie rock, rock, indie"
SoLo,Jennie,,,483661,10574117,"k-pop, Korean, Kpop"
Mantra,Jennie,,,395110,8579796,"k-pop, Korean, Kpop"
EXTRAL (feat. Doechii),Jennie,,,371432,4818525,"k-pop, Korean, Kpop"
like JENNIE,Jennie,,,309795,4540087,"k-pop, Korean, Kpop"
Love Hangover (feat. Dominic Fike),Jennie,,,276858,3699636,"k-pop, Korean, Kpop"
You & Me,Jennie,,,271984,5199248,"k-pop, Korean, Kpop"
Handlebars (feat. Dua Lipa),Jennie,,,229393,1751493,"k-pop, Korean, Kpop"
Damn Right (feat. CHILDISH GAMBINO & Kali Uchis),Jennie,,,204674,1112321,"k-pop, Korean, Kpop"
Start a War,Jennie,,,159415,1313340,"k-pop, Korean, Kpop"
with the IE (way up),Jennie,,,146859,1126608,"k-pop, Korean, Kpop"
doN'T StArT nOw,Dua Lipa,,,1290955,20418706,"pop, seen live, electropop"
Levitating (feat. DaBaby),Dua Lipa,,,1091095,12159252,"pop, seen live, electropop"
New Rules,Dua Lipa,,,1060495,11069693,"pop, seen live, electropop"
Levitating,Dua Lipa,,,982557,13951718,"pop, seen live, electropop"
Break My Heart,Dua Lipa,,,932866,12599047,"pop, seen live, electropop"
Physical,Dua Lipa,,,858463,15900980,"pop, seen live, electropop"
Houdini,Dua Lipa,,,787108,14139342,"pop, seen live, electropop"
IDGAF,Dua Lipa,,,780971,7619662,"pop, seen live, electropop"
Dance The Night - From Barbie The Album,Dua Lipa,,,691811,5348510,"pop, seen live, electropop"
lOVe AgaIN,Dua Lipa,,,675274,9392835,"pop, seen live, electropop"
Friday I'm in Love,The Cure,,,1939521,17663084,"post-punk, new wave, alternative"
Boys Don't Cry,The Cure,,,1915024,19621631,"post-punk, new wave, alternative"
Just Like Heaven,The Cure,,,1878038,19638648,"post-punk, new wave, alternative"
Close to Me,The Cure,,,1171895,8449223,"post-punk, new wave, alternative"
Lovesong,The Cure,,,994890,7594442,"post-punk, new wave, alternative"
Lullaby,The Cure,,,967687,7327522,"post-punk, new wave, alternative"
A Forest,The Cure,,,898116,6614261,"post-punk, new wave, alternative"
Inbetween Days,The Cure,,,879393,6777930,"post-punk, new wave, alternative"
The Lovecats,The Cure,,,784838,5097531,"post-punk, new wave, alternative"
Pictures of You,The Cure,,,730567,4996265,"post-punk, new wave, alternative"
Royals,Lorde,,,1779709,17971723,"pop, indie pop, electronic"
Ribs,Lorde,,,1419531,24305943,"pop, indie pop, electronic"
Team,Lorde,,,1414400,15838333,"pop, indie pop, electronic"
Tennis Court,Lorde,,,1032436,11603745,"pop, indie pop, electronic"
Green Light,Lorde,,,989310,15811948,"pop, indie pop, electronic"
Liability,Lorde,,,944247,15553066,"pop, indie pop, electronic"
Buzzcut Season,Lorde,,,938793,12798783,"pop, indie pop, electronic"
Supercut,Lorde,,,825605,15205101,"pop, indie pop, electronic"
Perfect Places,Lorde,,,752413,12764619,"pop, indie pop, electronic"
Glory and Gore,Lorde,,,738278,7015857,"pop, indie pop, electronic"
Apocalypse,Cigarettes After Sex,,,1616356,30377787,"dream pop, seen live, shoegaze"
SUNSETZ,Cigarettes After Sex,,,1192735,18532473,"dream pop, seen live, shoegaze"
K.,Cigarettes After Sex,,,1152607,18781951,"dream pop, seen live, shoegaze"
Cry,Cigarettes After Sex,,,974601,16238244,"dream pop, seen live, shoegaze"
SWEET,Cigarettes After Sex,,,945324,13633957,"dream pop, seen live, shoegaze"
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,,,848443,9274854,"dream pop, seen live, shoegaze"
Heavenly,Cigarettes After Sex,,,724223,9673512,"dream pop, seen live, shoegaze"
John Wayne,Cigarettes After Sex,,,499494,5862836,"dream pop, seen live, shoegaze"
Falling in Love,Cigarettes After Sex,,,486100,5235745,"dream pop, seen live, shoegaze"
You're All I Want,Cigarettes After Sex,,,465317,4509273,"dream pop, seen live, shoegaze"
XO TOUR Llif3,LIL UZI VERT,,,1211923,19231166,"trap, rap, Hip-Hop"
20 Min,LIL UZI VERT,,,990279,17669341,"trap, rap, Hip-Hop"
Just Wanna Rock,LIL UZI VERT,,,875954,11041949,"trap, rap, Hip-Hop"
The Way Life Goes (Feat. Oh Wonder),LIL UZI VERT,,,762998,12625397,"trap, rap, Hip-Hop"
Money Longer,LIL UZI VERT,,,603040,6985391,"trap, rap, Hip-Hop"
Watch This - ARIZONATEARS Pluggnb Remix,LIL UZI VERT,,,566301,6239002,"trap, rap, Hip-Hop"
Neon Guts (feat. Pharrell Williams),LIL UZI VERT,,,530344,6559784,"trap, rap, Hip-Hop"
Homecoming,LIL UZI VERT,,,450627,4960419,"trap, rap, Hip-Hop"
Silly Watch,LIL UZI VERT,,,438431,5214432,"trap, rap, Hip-Hop"
Flooded The Face,LIL UZI VERT,,,434188,5421446,"trap, rap, Hip-Hop"
Californication,Red Hot Chili Peppers,,,2560170,22036823,"rock, alternative rock, alternative"
Under the Bridge,Red Hot Chili Peppers,,,2394238,20147861,"rock, alternative rock, alternative"
Scar Tissue,Red Hot Chili Peppers,,,2254988,20397973,"rock, alternative rock, alternative"
Otherside,Red Hot Chili Peppers,,,2074637,17998335,"rock, alternative rock, alternative"
Can't Stop,Red Hot Chili Peppers,,,2072035,19682241,"rock, alternative rock, alternative"
Dani California,Red Hot Chili Peppers,,,1884885,15499680,"rock, alternative rock, alternative"
By the Way,Red Hot Chili Peppers,,,1607306,12774024,"rock, alternative rock, alternative"
Snow (Hey Oh),Red Hot Chili Peppers,,,1412166,11929791,"rock, alternative rock, alternative"
Give It Away,Red Hot Chili Peppers,,,1247772,7684106,"rock, alternative rock, alternative"
Around the World,Red Hot Chili Peppers,,,1080492,6901694,"rock, alternative rock, alternative"
Basket Case,Green Day,,,2076077,16951483,"punk rock, rock, punk"
American Idiot,Green Day,,,2024329,17178800,"punk rock, rock, punk"
Boulevard of Broken Dreams,Green Day,,,1881205,14388540,"punk rock, rock, punk"
Wake Me Up When September Ends,Green Day,,,1692732,12610001,"punk rock, rock, punk"
Good Riddance (Time of Your Life),Green Day,,,1488210,11439283,"punk rock, rock, punk"
When I Come Around,Green Day,,,1435879,10230023,"punk rock, rock, punk"
Holiday,Green Day,,,1317884,9407995,"punk rock, rock, punk"
21 Guns,Green Day,,,1085962,8902086,"punk rock, rock, punk"
Brain Stew,Green Day,,,966502,7691241,"punk rock, rock, punk"
Welcome to Paradise,Green Day,,,910263,6316496,"punk rock, rock, punk"
that’s so true,Gracie Abrams,,,691394,13393135,"seen live, pop, indie pop"
"I Love You, I'm Sorry",Gracie Abrams,,,639613,12999638,"seen live, pop, indie pop"
"I miss you, I’m sorry",Gracie Abrams,,,627562,11449232,"seen live, pop, indie pop"
Close to you,Gracie Abrams,,,523220,9215700,"seen live, pop, indie pop"
Feels Like,Gracie Abrams,,,413406,7436839,"seen live, pop, indie pop"
Risk,Gracie Abrams,,,402629,8594931,"seen live, pop, indie pop"
21,Gracie Abrams,,,389720,6461720,"seen live, pop, indie pop"
Mess It Up,Gracie Abrams,,,386226,7335223,"seen live, pop, indie pop"
us. (feat. Taylor Swift),Gracie Abrams,,,373644,6215676,"seen live, pop, indie pop"
I know it won't work,Gracie Abrams,,,363481,6515170,"seen live, pop, indie pop"
Zombie,The Cranberries,,,2247784,18108788,"rock, alternative, female vocalists"
Linger,The Cranberries,,,1949763,23175906,"rock, alternative, female vocalists"
Dreams,The Cranberries,,,1298957,10385189,"rock, alternative, female vocalists"
Ode to My Family,The Cranberries,,,827118,4845859,"rock, alternative, female vocalists"
Sunday,The Cranberries,,,716688,7059270,"rock, alternative, female vocalists"
When You're Gone,The Cranberries,,,507002,3148183,"rock, alternative, female vocalists"
Animal Instinct,The Cranberries,,,488332,2931012,"rock, alternative, female vocalists"
Just My Imagination,The Cranberries,,,416180,2212721,"rock, alternative, female vocalists"
I Can't Be With You,The Cranberries,,,397890,1865492,"rock, alternative, female vocalists"
Salvation,The Cranberries,,,384121,1891082,"rock, alternative, female vocalists"
Party in the U.S.A.,Miley Cyrus,,,1827420,13266572,"pop, female vocalists, Disney"
We Can't Stop,Miley Cyrus,,,1065582,9348328,"pop, female vocalists, Disney"
Wrecking Ball,Miley Cyrus,,,1051633,8759679,"pop, female vocalists, Disney"
Flowers,Miley Cyrus,,,1006658,13438529,"pop, female vocalists, Disney"
The Climb,Miley Cyrus,,,867792,5623840,"pop, female vocalists, Disney"
Angels Like You,Miley Cyrus,,,689017,9238998,"pop, female vocalists, Disney"
Prisoner (feat. Dua Lipa),Miley Cyrus,,,655202,9371559,"pop, female vocalists, Disney"
Midnight Sky,Miley Cyrus,,,604973,10145732,"pop, female vocalists, Disney"
Malibu,Miley Cyrus,,,586651,5699718,"pop, female vocalists, Disney"
See You Again,Miley Cyrus,,,485870,3294172,"pop, female vocalists, Disney"
Tití Me Preguntó,Bad Bunny,,,563403,7619280,"Reggaeton, latin, trap"
Me Porto Bonito,Bad Bunny,,,548261,7728595,"Reggaeton, latin, trap"
DtMF,Bad Bunny,,,483363,4847608,"Reggaeton, latin, trap"
DÁKITI,Bad Bunny,,,479988,6719891,"Reggaeton, latin, trap"
Moscow Mule,Bad Bunny,,,417475,6437899,"Reggaeton, latin, trap"
Ojitos Lindos,Bad Bunny,,,386571,5758505,"Reggaeton, latin, trap"
NUEVAYoL,Bad Bunny,,,381135,3347007,"Reggaeton, latin, trap"
Efecto,Bad Bunny,,,355894,5227426,"Reggaeton, latin, trap"
Callaita,Bad Bunny,,,350224,4107076,"Reggaeton, latin, trap"
BAILE INoLVIDABLE,Bad Bunny,,,349543,3514994,"Reggaeton, latin, trap"
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,,,1029544,14587937,"trap, Hip-Hop, rap"
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,,,831696,16363579,"trap, Hip-Hop, rap"
Trance (with Travis Scott & Young Thug),Metro Boomin,,,777033,14665288,"trap, Hip-Hop, rap"
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,,,770394,12317485,"trap, Hip-Hop, rap"
Space Cadet (feat. Gunna),Metro Boomin,,,747698,8906623,"trap, Hip-Hop, rap"
Overdue (with Travis Scott),Metro Boomin,,,674828,10791509,"trap, Hip-Hop, rap"
10 Freaky Girls (with 21 Savage),Metro Boomin,,,588971,7763548,"trap, Hip-Hop, rap"
I Can't Save You (Interlude) [with Future & feat. Don Toliver],Metro Boomin,,,516736,7145094,"trap, Hip-Hop, rap"
Around Me (feat. Don Toliver),Metro Boomin,,,495856,7471662,"trap, Hip-Hop, rap"
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,,,488995,6900941,"trap, Hip-Hop, rap"
Chop Suey!,System of a Down,,,2621627,29738974,"metal, alternative metal, rock"
Toxicity,System of a Down,,,2085538,21451483,"metal, alternative metal, rock"
Lonely Day,System of a Down,,,1765160,18364223,"metal, alternative metal, rock"
Aerials,System of a Down,,,1662466,15706459,"metal, alternative metal, rock"
B.Y.O.B.,System of a Down,,,1550835,14627310,"metal, alternative metal, rock"
Sugar,System of a Down,,,1151919,11121472,"metal, alternative metal, rock"
Hypnotize,System of a Down,,,1080456,8298562,"metal, alternative metal, rock"
ATWA,System of a Down,,,1052948,8113828,"metal, alternative metal, rock"
Prison Song,System of a Down,,,1027901,7752103,"metal, alternative metal, rock"
Violent Pornography,System of a Down,,,1023611,8503667,"metal, alternative metal, rock"
Wish You Were Here,Pink Floyd,,,1802701,19546267,"Progressive rock, classic rock, Psychedelic Rock"
Money,Pink Floyd,,,1453914,11811282,"Progressive rock, classic rock, Psychedelic Rock"
Comfortably Numb,Pink Floyd,,,1434361,13919170,"Progressive rock, classic rock, Psychedelic Rock"
Time,Pink Floyd,,,1377178,12817275,"Progressive rock, classic rock, Psychedelic Rock"
The Great Gig in the Sky,Pink Floyd,,,1375926,11710185,"Progressive rock, classic rock, Psychedelic Rock"
Us and Them,Pink Floyd,,,1107389,8914139,"Progressive rock, classic rock, Psychedelic Rock"
Brain Damage,Pink Floyd,,,1069141,8821381,"Progressive rock, classic rock, Psychedelic Rock"
Hey You,Pink Floyd,,,1026888,8424415,"Progressive rock, classic rock, Psychedelic Rock"
On the Run,Pink Floyd,,,996696,6474790,"Progressive rock, classic rock, Psychedelic Rock"
Eclipse,Pink Floyd,,,984623,7302308,"Progressive rock, classic rock, Psychedelic Rock"
No Role Modelz,J. Cole,,,1350373,20282221,"Hip-Hop, rap, underground hip-hop"
Wet Dreamz,J. Cole,,,1024247,13202845,"Hip-Hop, rap, underground hip-hop"
Work Out,J. Cole,,,922560,8522060,"Hip-Hop, rap, underground hip-hop"
MIDDLE CHILD,J. Cole,,,750484,9072106,"Hip-Hop, rap, underground hip-hop"
Lights Please,J. Cole,,,636761,2321606,"Hip-Hop, rap, underground hip-hop"
She Knows (Feat. Amber Coffman & Cults),J. Cole,,,594014,5569793,"Hip-Hop, rap, underground hip-hop"
m y . l i f e (with 21 Savage & Morray),J. Cole,,,553647,7858347,"Hip-Hop, rap, underground hip-hop"
Power Trip (feat. Miguel),J. Cole,,,519215,5916270,"Hip-Hop, rap, underground hip-hop"
Love Yourz,J. Cole,,,512139,5810729,"Hip-Hop, rap, underground hip-hop"
I Get Up,J. Cole,,,496705,1360838,"Hip-Hop, rap, underground hip-hop"
Teenagers,My Chemical Romance,,,1842006,19395034,"rock, emo, alternative"
Welcome to the Black Parade,My Chemical Romance,,,1707778,17694936,"rock, emo, alternative"
Helena,My Chemical Romance,,,1481842,17587436,"rock, emo, alternative"
I'm Not Okay (I Promise),My Chemical Romance,,,1320116,15845735,"rock, emo, alternative"
Famous Last Words,My Chemical Romance,,,1067259,11826411,"rock, emo, alternative"
The Ghost of You,My Chemical Romance,,,1058619,12850985,"rock, emo, alternative"
I Don't Love You,My Chemical Romance,,,1049859,11361182,"rock, emo, alternative"
Dead!,My Chemical Romance,,,902620,10368363,"rock, emo, alternative"
Cancer,My Chemical Romance,,,865354,9192921,"rock, emo, alternative"
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,,,804896,9292128,"rock, emo, alternative"
Stressed Out,Twenty One Pilots,,,1527659,15942700,"electronic, alternative, indie pop"
Ride,Twenty One Pilots,,,1219520,11802849,"electronic, alternative, indie pop"
Heathens,Twenty One Pilots,,,1115294,9931955,"electronic, alternative, indie pop"
Tear in My Heart,Twenty One Pilots,,,825245,8466076,"electronic, alternative, indie pop"
Heavydirtysoul,Twenty One Pilots,,,592508,6241649,"electronic, alternative, indie pop"
Chlorine,Twenty One Pilots,,,565657,6898080,"electronic, alternative, indie pop"
Car Radio,Twenty One Pilots,,,557133,6376740,"electronic, alternative, indie pop"
House of Gold,Twenty One Pilots,,,473614,4213395,"electronic, alternative, indie pop"
Doubt,Twenty One Pilots,,,472881,4534565,"electronic, alternative, indie pop"
Lane Boy,Twenty One Pilots,,,421420,4085733,"electronic, alternative, indie pop"
Starships,Nicki Minaj,,,1556181,12308250,"Hip-Hop, rap, rnb"
Super Bass,Nicki Minaj,,,1438475,12618400,"Hip-Hop, rap, rnb"
Anaconda,Nicki Minaj,,,779184,6128019,"Hip-Hop, rap, rnb"
sUPeR fREAky gIrl,Nicki Minaj,,,702516,9397074,"Hip-Hop, rap, rnb"
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,,,686707,7144362,"Hip-Hop, rap, rnb"
Pound the Alarm,Nicki Minaj,,,587553,4487400,"Hip-Hop, rap, rnb"
Va Va Voom,Nicki Minaj,,,584783,6106770,"Hip-Hop, rap, rnb"
Chun-Li,Nicki Minaj,,,513465,6027486,"Hip-Hop, rap, rnb"
Only,Nicki Minaj,,,484925,3288970,"Hip-Hop, rap, rnb"
The Night Is Still Young,Nicki Minaj,,,484767,4193700,"Hip-Hop, rap, rnb"
a lot,21 Savage,,,834599,12017629,"trap, Hip-Hop, rap"
Glock In My Lap,21 Savage,,,796539,12062980,"trap, Hip-Hop, rap"
ball w/o you,21 Savage,,,772094,12045874,"trap, Hip-Hop, rap"
Runnin,21 Savage,,,763478,10616817,"trap, Hip-Hop, rap"
redrum,21 Savage,,,741327,8356362,"trap, Hip-Hop, rap"
Rich Nigga Shit (feat. Young Thug),21 Savage,,,647868,9326320,"trap, Hip-Hop, rap"
Bank Account,21 Savage,,,624128,6005022,"trap, Hip-Hop, rap"
née-nah,21 Savage,,,439496,4712796,"trap, Hip-Hop, rap"
n.h.i.e.,21 Savage,,,436356,3630401,"trap, Hip-Hop, rap"
No Heart,21 Savage,,,421147,4249141,"trap, Hip-Hop, rap"
Slow dancing in the dark,Joji,,,1411161,26789409,"Lo-Fi, rnb, Hip-Hop"
Glimpse of Us,Joji,,,1177112,24618777,"Lo-Fi, rnb, Hip-Hop"
yeah right,Joji,,,896033,15150319,"Lo-Fi, rnb, Hip-Hop"
Worldstar Money (Interlude),Joji,,,875744,12939740,"Lo-Fi, rnb, Hip-Hop"
Sanctuary,Joji,,,757970,12111275,"Lo-Fi, rnb, Hip-Hop"
